Product Name,Price,Rating
"APPLE iPhone SE (Black, 64 GB)","₹31,999","1,02,511 Ratings & 8,708 Reviews"
"APPLE iPhone SE (White, 64 GB)","₹31,999","1,02,511 Ratings & 8,708 Reviews"
"APPLE iPhone SE (Red, 64 GB)","₹31,999","1,02,511 Ratings & 8,708 Reviews"
"APPLE iPhone SE (Black, 128 GB)","₹36,999","1,02,511 Ratings & 8,708 Reviews"
"APPLE iPhone SE (Red, 128 GB)","₹36,999","1,02,511 Ratings & 8,708 Reviews"
"APPLE iPhone SE (White, 128 GB)","₹36,999","1,02,511 Ratings & 8,708 Reviews"
"APPLE iPhone 7 Plus (Black, 32 GB)","₹36,999","29,639 Ratings & 3,019 Reviews"
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹31,999","1,02,511 Ratings & 8,708 Reviews"
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)","₹36,999","1,02,511 Ratings & 8,708 Reviews"
"Apple iPhone SE (Red, 128 GB) (Includes EarPods, Power Adapter)","₹36,999","1,02,511 Ratings & 8,708 Reviews"
"Apple iPhone SE (White, 64 GB) (Includes EarPods, Power Adapter)","₹31,999","1,02,511 Ratings & 8,708 Reviews"
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)","₹31,999","1,02,511 Ratings & 8,708 Reviews"
"Apple iPhone SE (Black, 128 GB) (Includes EarPods, Power Adapter)","₹36,999","1,02,511 Ratings & 8,708 Reviews"
"iphone Apple 6s (Silver, 32 GB)","₹26,999",NA
"APPLE iPhone 7 (Black, 32 GB)","₹24,999","94,705 Ratings & 9,252 Reviews"
"APPLE iPhone 7 Plus (Silver, 32 GB)","₹36,999","29,639 Ratings & 3,019 Reviews"
"APPLE iPhone 7 (Gold, 32 GB)","₹24,999","94,705 Ratings & 9,252 Reviews"
"APPLE iPhone 8 (Gold, 64 GB)","₹38,999","11,238 Ratings & 797 Reviews"
"APPLE iPhone 6 (Gold, 64 GB)","₹25,999","1,45,675 Ratings & 16,424 Reviews"
"APPLE iPhone 7 Plus (Gold, 32 GB)","₹36,999","29,639 Ratings & 3,019 Reviews"
"APPLE iPhone 7 Plus (Jet Black, 32 GB)","₹36,999","29,639 Ratings & 3,019 Reviews"
"APPLE iPhone 7 (Silver, 32 GB)","₹24,999","94,705 Ratings & 9,252 Reviews"
"APPLE iPhone 8 (Silver, 64 GB)","₹38,999","11,238 Ratings & 797 Reviews"
"APPLE iPhone 6s (Rose Gold, 32 GB)","₹25,299","93,102 Ratings & 9,309 Reviews"
